WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
bn2b_branch2a/gamma:0                              (64,)            +0.2032        +1.7717      +0.3814   
bn2b_branch2a/beta:0                               (64,)            -2.0544        +1.6680      +0.8848   
bn2b_branch2a/moving_mean:0                        (64,)            -1.8157        +1.7829      +0.7466   
bn2b_branch2a/moving_variance:0                    (64,)            +0.0000        +3.2496      +0.7830   
res2b_branch2b/kernel:0                        (3, 3, 64, 64)       -0.5192        +0.3403      +0.0354   
res2b_branch2b/bias:0                              (64,)            -0.0018        +0.0012      +0.0006   
bn2b_branch2b/gamma:0                              (64,)            +0.5178        +1.4700      +0.2258   
bn2b_branch2b/beta:0                               (64,)            -2.4528        +2.7550      +1.1957   
bn2b_branch2b/moving_mean:0                        (64,)            -1.8361        +0.9368      +0.5723   
bn2b_branch2b/moving_variance:0                    (64,)            +0.0938        +1.0783      +0.2077   
res2b_branch2c/kernel:0                       (1, 1, 64, 256)       -0.3332        +0.3226      +0.0411   
res2b_branch2c/bias:0                              (256,)           -0.0022        +0.0034      +0.0008   
bn2b_branch2c/gamma:0                              (256,)           -0.0318        +1.7924      +0.4220   
bn2b_branch2c/beta:0                               (256,)           -1.2936        +0.9631      +0.3430   
bn2b_branch2c/moving_mean:0                        (256,)           -2.5336        +2.1111      +0.5033   
bn2b_branch2c/moving_variance:0                    (256,)           +0.0000        +0.2187      +0.0333   
res2c_branch2a/kernel:0                       (1, 1, 256, 64)       -0.3006        +0.2164      +0.0411   
res2c_branch2a/bias:0                              (64,)            -0.0005        +0.0013      +0.0004   
bn2c_branch2a/gamma:0                              (64,)            +0.2659        +1.8179      +0.2835   
bn2c_branch2a/beta:0                               (64,)            -2.0170        +0.8437      +0.7875   
bn2c_branch2a/moving_mean:0                        (64,)            -4.7340        +1.6664      +1.2255   
bn2c_branch2a/moving_variance:0                    (64,)            +0.0000        +3.4985      +0.7644   
res2c_branch2b/kernel:0                        (3, 3, 64, 64)       -0.2008        +0.2150      +0.0375   
res2c_branch2b/bias:0                              (64,)            -0.0014        +0.0016      +0.0007   
bn2c_branch2b/gamma:0                              (64,)            +0.6153        +1.5361      +0.2150   
bn2c_branch2b/beta:0                               (64,)            -2.4090        +1.8154      +0.6295   
bn2c_branch2b/moving_mean:0                        (64,)            -1.4939        +0.1422      +0.2628   
bn2c_branch2b/moving_variance:0                    (64,)            +0.2278        +2.0831      +0.3304   
res2c_branch2c/kernel:0                       (1, 1, 64, 256)       -0.2855        +0.2533      +0.0429   
res2c_branch2c/bias:0                              (256,)           -0.0011        +0.0076      +0.0011   
bn2c_branch2c/gamma:0                              (256,)           -0.0192        +2.3667      +0.5249   
bn2c_branch2c/beta:0                               (256,)           -1.6829        +1.0985      +0.4280   
bn2c_branch2c/moving_mean:0                        (256,)           -1.2794        +0.7256      +0.2929   
bn2c_branch2c/moving_variance:0                    (256,)           +0.0010        +0.7414      +0.1125   
res3a_branch2a/kernel:0                       (1, 1, 256, 128)      -0.4984        +0.6161      +0.0302   
res3a_branch2a/bias:0                              (128,)           -0.0017        +0.0008      +0.0004   
bn3a_branch2a/gamma:0                              (128,)           +0.4873        +1.3152      +0.1878   
bn3a_branch2a/beta:0                               (128,)           -1.8389        +2.5616      +0.7570   
bn3a_branch2a/moving_mean:0                        (128,)           -4.2267        +2.1703      +0.9005   
bn3a_branch2a/moving_variance:0                    (128,)           +0.0545        +8.9011      +1.2696   
res3a_branch2b/kernel:0                       (3, 3, 128, 128)      -0.3216        +0.4473      +0.0221   
res3a_branch2b/bias:0                              (128,)           -0.0006        +0.0008      +0.0002   
bn3a_branch2b/gamma:0                              (128,)           +0.4666        +1.8255      +0.2179   
bn3a_branch2b/beta:0                               (128,)           -1.9432        +1.8970      +0.7859   
bn3a_branch2b/moving_mean:0                        (128,)           -6.0335        +3.2213      +1.9778   
bn3a_branch2b/moving_variance:0                    (128,)           +0.0001        +6.6136      +0.8450   
res3a_branch2c/kernel:0                       (1, 1, 128, 512)      -0.4896        +0.3375      +0.0281   
res3a_branch2c/bias:0                              (512,)           -0.0028        +0.0021      +0.0005   
res3a_branch1/kernel:0                        (1, 1, 256, 512)      -0.4486        +0.6640      +0.0288   
res3a_branch1/bias:0                               (512,)           -0.0028        +0.0009      +0.0003   
bn3a_branch2c/gamma:0                              (512,)           -0.0035        +3.6967      +0.6166   
bn3a_branch2c/beta:0                               (512,)           -0.9610        +1.4446      +0.3692   
bn3a_branch2c/moving_mean:0                        (512,)           -1.5891        +1.4301      +0.3907   
bn3a_branch2c/moving_variance:0                    (512,)           +0.0002        +0.8632      +0.1073   
bn3a_branch1/gamma:0                               (512,)           -0.0147        +2.6947      +0.4766   
bn3a_branch1/beta:0                                (512,)           -0.9611        +1.4446      +0.3692   
bn3a_branch1/moving_mean:0                         (512,)           -3.7382        +2.8448      +0.8043   
bn3a_branch1/moving_variance:0                     (512,)           +0.0029        +5.7492      +0.6063   
res3b_branch2a/kernel:0                       (1, 1, 512, 128)      -0.1990        +0.1928      +0.0251   
res3b_branch2a/bias:0                              (128,)           -0.0006        +0.0008      +0.0003   
bn3b_branch2a/gamma:0                              (128,)           +0.5897        +1.5333      +0.1790   
bn3b_branch2a/beta:0                               (128,)           -3.9542        +0.6810      +0.6431   
bn3b_branch2a/moving_mean:0                        (128,)           -3.0865        +1.0082      +0.6388   
bn3b_branch2a/moving_variance:0                    (128,)           +0.2999        +3.6467      +0.6298   
res3b_branch2b/kernel:0                       (3, 3, 128, 128)      -0.2281        +0.2746      +0.0239   
res3b_branch2b/bias:0                              (128,)           -0.0008        +0.0020      +0.0005   
bn3b_branch2b/gamma:0                              (128,)           +0.4825        +1.4912      +0.2339   
bn3b_branch2b/beta:0                               (128,)           -2.4206        +1.4212      +0.6770   
bn3b_branch2b/moving_mean:0                        (128,)           -2.1539        +1.4636      +0.5130   
bn3b_branch2b/moving_variance:0                    (128,)           +0.0961        +1.6067      +0.2474   
res3b_branch2c/kernel:0                       (1, 1, 128, 512)      -0.3084        +0.4621      +0.0287   
res3b_branch2c/bias:0                              (512,)           -0.0022        +0.0044      +0.0007   
bn3b_branch2c/gamma:0                              (512,)           -0.0373        +2.0098      +0.4045   
bn3b_branch2c/beta:0                               (512,)           -1.5768        +1.1615      +0.3743   
bn3b_branch2c/moving_mean:0                        (512,)           -1.0827        +0.6886      +0.2301   
bn3b_branch2c/moving_variance:0                    (512,)           +0.0002        +0.2121      +0.0303   
res3c_branch2a/kernel:0                       (1, 1, 512, 128)      -0.2631        +0.2637      +0.0282   
res3c_branch2a/bias:0                              (128,)           -0.0008        +0.0015      +0.0003   
bn3c_branch2a/gamma:0                              (128,)           +0.5937        +1.4906      +0.1893   
bn3c_branch2a/beta:0                               (128,)           -2.8071        +0.7264      +0.5404   
bn3c_branch2a/moving_mean:0                        (128,)           -3.0245        +1.7478      +0.8335   
bn3c_branch2a/moving_variance:0                    (128,)           +0.2705        +3.8971      +0.7585   
res3c_branch2b/kernel:0                       (3, 3, 128, 128)      -0.2278        +0.1968      +0.0231   
res3c_branch2b/bias:0                              (128,)           -0.0012        +0.0026      +0.0007   
bn3c_branch2b/gamma:0                              (128,)           +0.4447        +1.5767      +0.2847   
bn3c_branch2b/beta:0                               (128,)           -1.4160        +1.3168      +0.5547   
bn3c_branch2b/moving_mean:0                        (128,)           -1.0368        +0.7158      +0.2785   
bn3c_branch2b/moving_variance:0                    (128,)           +0.1252        +0.9441      +0.1439   
res3c_branch2c/kernel:0                       (1, 1, 128, 512)      -0.3047        +0.3769      +0.0261   
res3c_branch2c/bias:0                              (512,)           -0.0022        +0.0030      +0.0007   
bn3c_branch2c/gamma:0                              (512,)           -0.0352        +1.8956      +0.3768   
bn3c_branch2c/beta:0                               (512,)           -1.5424        +0.8267      +0.3610   
bn3c_branch2c/moving_mean:0                        (512,)           -0.8692        +0.7091      +0.1843   
bn3c_branch2c/moving_variance:0                    (512,)           +0.0002        +0.1747      +0.0270   
res3d_branch2a/kernel:0                       (1, 1, 512, 128)      -0.2580        +0.2867      +0.0305   
res3d_branch2a/bias:0                              (128,)           -0.0006        +0.0005      +0.0002   
bn3d_branch2a/gamma:0                              (128,)           +0.6436        +1.4512      +0.1920   
bn3d_branch2a/beta:0                               (128,)           -2.9768        +0.6126      +0.6394   
bn3d_branch2a/moving_mean:0                        (128,)           -3.7891        +2.2792      +0.9724   
bn3d_branch2a/moving_variance:0                    (128,)           +0.0035        +3.3270      +0.5634   
res3d_branch2b/kernel:0                       (3, 3, 128, 128)      -0.1596        +0.2396      +0.0236   
res3d_branch2b/bias:0                              (128,)           -0.0009        +0.0021      +0.0005   
bn3d_branch2b/gamma:0                              (128,)           +0.6448        +3.2656      +0.2900   
bn3d_branch2b/beta:0                               (128,)           -1.6515        +1.5589      +0.5597   
bn3d_branch2b/moving_mean:0                        (128,)           -1.0483        +0.3162      +0.2877   
bn3d_branch2b/moving_variance:0                    (128,)           +0.2354        +1.6038      +0.2114   
res3d_branch2c/kernel:0                       (1, 1, 128, 512)      -0.2401        +0.3373      +0.0269   
res3d_branch2c/bias:0                              (512,)           -0.0014        +0.0018      +0.0005   
bn3d_branch2c/gamma:0                              (512,)           -0.0237        +1.9211      +0.5162   
bn3d_branch2c/beta:0                               (512,)           -1.0557        +0.9750      +0.2713   
bn3d_branch2c/moving_mean:0                        (512,)           -1.1224        +0.4736      +0.2424   
bn3d_branch2c/moving_variance:0                    (512,)           +0.0002        +0.4452      +0.0605   
res4a_branch2a/kernel:0                       (1, 1, 512, 256)      -0.2809        +0.2525      +0.0148   
res4a_branch2a/bias:0                              (256,)           -0.0006        +0.0005      +0.0002   
bn4a_branch2a/gamma:0                              (256,)           +0.4764        +1.4605      +0.1496   
bn4a_branch2a/beta:0                               (256,)           -1.9415        +1.1187      +0.3881   
bn4a_branch2a/moving_mean:0                        (256,)           -3.6537        +1.2955      +0.6511   
bn4a_branch2a/moving_variance:0                    (256,)           +0.0614        +2.4605      +0.3051   
res4a_branch2b/kernel:0                       (3, 3, 256, 256)      -0.1701        +0.1949      +0.0105   
res4a_branch2b/bias:0                              (256,)           -0.0007        +0.0006      +0.0003   
bn4a_branch2b/gamma:0                              (256,)           +0.4721        +1.5784      +0.1985   
bn4a_branch2b/beta:0                               (256,)           -2.5978        +1.1150      +0.4805   
bn4a_branch2b/moving_mean:0                        (256,)           -2.6573        +3.4857      +0.5984   
bn4a_branch2b/moving_variance:0                    (256,)           +0.1394        +1.4291      +0.2191   
res4a_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.2814        +0.1890      +0.0139   
res4a_branch2c/bias:0                             (1024,)           -0.0017        +0.0021      +0.0004   
res4a_branch1/kernel:0                       (1, 1, 512, 1024)      -0.3550        +0.3359      +0.0157   
res4a_branch1/bias:0                              (1024,)           -0.0009        +0.0006      +0.0002   
bn4a_branch2c/gamma:0                             (1024,)           -0.0097        +2.8164      +0.4544   
bn4a_branch2c/beta:0                              (1024,)           -0.5241        +2.0441      +0.2861   
bn4a_branch2c/moving_mean:0                       (1024,)           -0.4885        +0.2798      +0.0831   
bn4a_branch2c/moving_variance:0                   (1024,)           +0.0000        +0.1206      +0.0119   
bn4a_branch1/gamma:0                              (1024,)           +0.1706        +3.9847      +0.7124   
bn4a_branch1/beta:0                               (1024,)           -0.5241        +2.0443      +0.2861   
bn4a_branch1/moving_mean:0                        (1024,)           -5.8239        +3.2843      +0.9039   
bn4a_branch1/moving_variance:0                    (1024,)           +0.0546        +8.5205      +0.6964   
res4b_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1249        +0.1757      +0.0080   
res4b_branch2a/bias:0                              (256,)           -0.0003        +0.0002      +0.0001   
bn4b_branch2a/gamma:0                              (256,)           +0.4164        +1.5920      +0.1867   
bn4b_branch2a/beta:0                               (256,)           -2.2047        +2.0419      +0.4852   
bn4b_branch2a/moving_mean:0                        (256,)           -4.6812        +2.7681      +1.1843   
bn4b_branch2a/moving_variance:0                    (256,)           +0.1327       +11.9923      +1.3851   
res4b_branch2b/kernel:0                       (3, 3, 256, 256)      -0.0961        +0.1620      +0.0072   
res4b_branch2b/bias:0                              (256,)           -0.0006        +0.0006      +0.0002   
bn4b_branch2b/gamma:0                              (256,)           +0.5004        +1.4635      +0.1880   
bn4b_branch2b/beta:0                               (256,)           -1.6813        +0.5871      +0.4319   
bn4b_branch2b/moving_mean:0                        (256,)           -5.7095        +1.9171      +0.8444   
bn4b_branch2b/moving_variance:0                    (256,)           +0.0203        +1.3132      +0.2172   
res4b_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1969        +0.2788      +0.0102   
res4b_branch2c/bias:0                             (1024,)           -0.0018        +0.0019      +0.0005   
bn4b_branch2c/gamma:0                             (1024,)           -0.0005        +3.1542      +0.3623   
bn4b_branch2c/beta:0                              (1024,)           -1.0585        +0.9439      +0.1802   
bn4b_branch2c/moving_mean:0                       (1024,)           -0.4443        +0.4752      +0.0943   
bn4b_branch2c/moving_variance:0                   (1024,)           +0.0000        +0.1888      +0.0161   
res4c_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.0983        +0.1237      +0.0082   
res4c_branch2a/bias:0                              (256,)           -0.0003        +0.0003      +0.0001   
bn4c_branch2a/gamma:0                              (256,)           +0.5709        +1.7536      +0.1408   
bn4c_branch2a/beta:0                               (256,)           -0.9244        +1.3176      +0.3731   
bn4c_branch2a/moving_mean:0                        (256,)           -4.0562        +2.6203      +1.2418   
bn4c_branch2a/moving_variance:0                    (256,)           +0.3526        +5.5460      +0.6766   
res4c_branch2b/kernel:0                       (3, 3, 256, 256)      -0.0975        +0.1094      +0.0073   
res4c_branch2b/bias:0                              (256,)           -0.0005        +0.0005      +0.0002   
bn4c_branch2b/gamma:0                              (256,)           +0.5016        +1.2176      +0.1486   
bn4c_branch2b/beta:0                               (256,)           -1.4415        +0.5762      +0.3367   
bn4c_branch2b/moving_mean:0                        (256,)           -3.4174        +1.7898      +0.5966   
bn4c_branch2b/moving_variance:0                    (256,)           +0.0730        +1.5945      +0.1712   
res4c_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1333        +0.1623      +0.0106   
res4c_branch2c/bias:0                             (1024,)           -0.0023        +0.0021      +0.0005   
bn4c_branch2c/gamma:0                             (1024,)           +0.0044        +2.2688      +0.2646   
bn4c_branch2c/beta:0                              (1024,)           -1.1018        +0.7332      +0.1791   
bn4c_branch2c/moving_mean:0                       (1024,)           -0.3355        +0.1449      +0.0609   
bn4c_branch2c/moving_variance:0                   (1024,)           +0.0003        +0.0969      +0.0076   
res4d_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1146        +0.1468      +0.0102   
res4d_branch2a/bias:0                              (256,)           -0.0002        +0.0003      +0.0001   
bn4d_branch2a/gamma:0                              (256,)           +0.5668        +1.4397      +0.1490   
bn4d_branch2a/beta:0                               (256,)           -1.3445        +0.4760      +0.3036   
bn4d_branch2a/moving_mean:0                        (256,)           -3.2371        +2.2156      +0.9378   
bn4d_branch2a/moving_variance:0                    (256,)           +0.3515        +5.9965      +0.7573   
res4d_branch2b/kernel:0                       (3, 3, 256, 256)      -0.0995        +0.0983      +0.0087   
res4d_branch2b/bias:0                              (256,)           -0.0009        +0.0015      +0.0004   
bn4d_branch2b/gamma:0                              (256,)           +0.4275        +1.5385      +0.1600   
bn4d_branch2b/beta:0                               (256,)           -1.4341        +0.3843      +0.2816   
bn4d_branch2b/moving_mean:0                        (256,)           -1.4094        +0.7436      +0.2812   
bn4d_branch2b/moving_variance:0                    (256,)           +0.0523        +0.4509      +0.0769   
res4d_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.2375        +0.1236      +0.0117   
res4d_branch2c/bias:0                             (1024,)           -0.0028        +0.0029      +0.0007   
bn4d_branch2c/gamma:0                             (1024,)           +0.0455        +2.8447      +0.3286   
bn4d_branch2c/beta:0                              (1024,)           -1.3528        +0.5919      +0.2292   
bn4d_branch2c/moving_mean:0                       (1024,)           -0.3255        +0.1030      +0.0535   
bn4d_branch2c/moving_variance:0                   (1024,)           +0.0017        +0.1031      +0.0077   
res4e_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1462        +0.1113      +0.0100   
res4e_branch2a/bias:0                              (256,)           -0.0002        +0.0002      +0.0001   
bn4e_branch2a/gamma:0                              (256,)           +0.6403        +1.3673      +0.1231   
bn4e_branch2a/beta:0                               (256,)           -1.0864        +0.3549      +0.2687   
bn4e_branch2a/moving_mean:0                        (256,)           -4.3375        +1.8791      +1.1414   
bn4e_branch2a/moving_variance:0                    (256,)           +0.3798        +4.6768      +0.6343   
res4e_branch2b/kernel:0                       (3, 3, 256, 256)      -0.0856        +0.0924      +0.0090   
res4e_branch2b/bias:0                              (256,)           -0.0008        +0.0012      +0.0004   
bn4e_branch2b/gamma:0                              (256,)           +0.5460        +1.2863      +0.1314   
bn4e_branch2b/beta:0                               (256,)           -1.2792        +0.2207      +0.2525   
bn4e_branch2b/moving_mean:0                        (256,)           -1.6195        +0.8106      +0.3150   
bn4e_branch2b/moving_variance:0                    (256,)           +0.0594        +0.9789      +0.1007   
res4e_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.2018        +0.1748      +0.0119   
res4e_branch2c/bias:0                             (1024,)           -0.0019        +0.0025      +0.0007   
bn4e_branch2c/gamma:0                             (1024,)           +0.0236        +1.7311      +0.1827   
bn4e_branch2c/beta:0                              (1024,)           -1.0506        +0.4076      +0.1765   
bn4e_branch2c/moving_mean:0                       (1024,)           -0.2640        +0.1132      +0.0421   
bn4e_branch2c/moving_variance:0                   (1024,)           +0.0009        +0.0492      +0.0041   
res4f_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.0841        +0.1229      +0.0104   
res4f_branch2a/bias:0                              (256,)           -0.0002        +0.0003      +0.0001   
bn4f_branch2a/gamma:0                              (256,)           +0.6962        +1.3806      +0.0997   
bn4f_branch2a/beta:0                               (256,)           -1.1552        +0.3896      +0.2461   
bn4f_branch2a/moving_mean:0                        (256,)           -4.4642        +2.1927      +1.1421   
bn4f_branch2a/moving_variance:0                    (256,)           +0.4538        +4.7501      +0.7294   
res4f_branch2b/kernel:0                       (3, 3, 256, 256)      -0.1018        +0.1011      +0.0095   
res4f_branch2b/bias:0                              (256,)           -0.0007        +0.0014      +0.0003   
bn4f_branch2b/gamma:0                              (256,)           +0.4244        +1.2407      +0.1098   
bn4f_branch2b/beta:0                               (256,)           -1.4288        +0.5172      +0.2441   
bn4f_branch2b/moving_mean:0                        (256,)           -1.8044        +1.5505      +0.3778   
bn4f_branch2b/moving_variance:0                    (256,)           +0.0635        +0.6795      +0.0933   
res4f_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1417        +0.1284      +0.0118   
res4f_branch2c/bias:0                             (1024,)           -0.0021        +0.0032      +0.0008   
bn4f_branch2c/gamma:0                             (1024,)           +0.1766        +1.6157      +0.1733   
bn4f_branch2c/beta:0                              (1024,)           -0.9799        +0.2975      +0.1410   
bn4f_branch2c/moving_mean:0                       (1024,)           -0.1586        +0.0747      +0.0354   
bn4f_branch2c/moving_variance:0                   (1024,)           +0.0012        +0.0210      +0.0024   
res4g_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1142        +0.2427      +0.0107   
res4g_branch2a/bias:0                              (256,)           -0.0004        +0.0003      +0.0001   
bn4g_branch2a/gamma:0                              (256,)           +0.6038        +1.2004      +0.1063   
bn4g_branch2a/beta:0                               (256,)           -1.2671        +0.2339      +0.2815   
bn4g_branch2a/moving_mean:0                        (256,)           -4.3445        +1.4500      +1.0834   
bn4g_branch2a/moving_variance:0                    (256,)           +0.3768        +3.8029      +0.7079   
res4g_branch2b/kernel:0                       (3, 3, 256, 256)      -0.1262        +0.1216      +0.0097   
res4g_branch2b/bias:0                              (256,)           -0.0009        +0.0011      +0.0004   
bn4g_branch2b/gamma:0                              (256,)           +0.4734        +1.7335      +0.1337   
bn4g_branch2b/beta:0                               (256,)           -1.2605        +0.1890      +0.2691   
bn4g_branch2b/moving_mean:0                        (256,)           -1.1725        +1.0331      +0.2961   
bn4g_branch2b/moving_variance:0                    (256,)           +0.0579        +0.7416      +0.0856   
res4g_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1488        +0.2289      +0.0118   
res4g_branch2c/bias:0                             (1024,)           -0.0018        +0.0039      +0.0008   
bn4g_branch2c/gamma:0                             (1024,)           +0.0901        +1.8093      +0.1969   
bn4g_branch2c/beta:0                              (1024,)           -0.9017        +0.2922      +0.1410   
bn4g_branch2c/moving_mean:0                       (1024,)           -0.1887        +0.0784      +0.0394   
bn4g_branch2c/moving_variance:0                   (1024,)           +0.0013        +0.0316      +0.0033   
res4h_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1303        +0.1609      +0.0116   
res4h_branch2a/bias:0                              (256,)           -0.0004        +0.0004      +0.0001   
bn4h_branch2a/gamma:0                              (256,)           +0.6206        +1.2079      +0.0982   
bn4h_branch2a/beta:0                               (256,)           -1.4118        +0.0727      +0.2609   
bn4h_branch2a/moving_mean:0                        (256,)           -3.7871        +2.4121      +0.9370   
bn4h_branch2a/moving_variance:0                    (256,)           +0.5296        +3.3483      +0.5827   
res4h_branch2b/kernel:0                       (3, 3, 256, 256)      -0.0986        +0.1226      +0.0101   
res4h_branch2b/bias:0                              (256,)           -0.0015        +0.0016      +0.0005   
bn4h_branch2b/gamma:0                              (256,)           +0.4799        +1.4777      +0.1471   
bn4h_branch2b/beta:0                               (256,)           -1.5816        +0.4312      +0.2519   
bn4h_branch2b/moving_mean:0                        (256,)           -1.0446        +1.1061      +0.2066   
bn4h_branch2b/moving_variance:0                    (256,)           +0.0492        +0.5152      +0.0675   
res4h_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1449        +0.2347      +0.0120   
res4h_branch2c/bias:0                             (1024,)           -0.0022        +0.0043      +0.0007   
bn4h_branch2c/gamma:0                             (1024,)           +0.0530        +2.4668      +0.2955   
bn4h_branch2c/beta:0                              (1024,)           -0.7956        +0.3314      +0.1519   
bn4h_branch2c/moving_mean:0                       (1024,)           -0.2073        +0.1215      +0.0407   
bn4h_branch2c/moving_variance:0                   (1024,)           +0.0012        +0.0485      +0.0043   
res4i_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1306        +0.2984      +0.0129   
res4i_branch2a/bias:0                              (256,)           -0.0003        +0.0005      +0.0001   
bn4i_branch2a/gamma:0                              (256,)           +0.3531        +1.0495      +0.1264   
bn4i_branch2a/beta:0                               (256,)           -1.4704        +0.4523      +0.2769   
bn4i_branch2a/moving_mean:0                        (256,)           -4.1849        +2.5485      +1.1041   
bn4i_branch2a/moving_variance:0                    (256,)           +0.7884        +7.4350      +0.6603   
res4i_branch2b/kernel:0                       (3, 3, 256, 256)      -0.1275        +0.1531      +0.0092   
res4i_branch2b/bias:0                              (256,)           -0.0025        +0.0036      +0.0008   
bn4i_branch2b/gamma:0                              (256,)           +0.5641        +1.6265      +0.1408   
bn4i_branch2b/beta:0                               (256,)           -1.4846        +0.4763      +0.2636   
bn4i_branch2b/moving_mean:0                        (256,)           -0.5127        +0.1199      +0.0935   
bn4i_branch2b/moving_variance:0                    (256,)           +0.0143        +0.1193      +0.0159   
res4i_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1536        +0.1542      +0.0118   
res4i_branch2c/bias:0                             (1024,)           -0.0018        +0.0032      +0.0006   
bn4i_branch2c/gamma:0                             (1024,)           +0.0403        +2.1602      +0.1849   
bn4i_branch2c/beta:0                              (1024,)           -0.5913        +0.7021      +0.1253   
bn4i_branch2c/moving_mean:0                       (1024,)           -0.4519        +0.1328      +0.0659   
bn4i_branch2c/moving_variance:0                   (1024,)           +0.0008        +0.0992      +0.0064   
res4j_branch2a/kernel:0                      (1, 1, 1024, 256)      -0.1201        +0.1719      +0.0124   
res4j_branch2a/bias:0                              (256,)           -0.0003        +0.0004      +0.0001   
bn4j_branch2a/gamma:0                              (256,)           +0.5034        +1.2831      +0.1153   
bn4j_branch2a/beta:0                               (256,)           -1.9052        +0.2153      +0.2869   
bn4j_branch2a/moving_mean:0                        (256,)           -4.7605        +1.3667      +0.9790   
bn4j_branch2a/moving_variance:0                    (256,)           +0.8111        +8.3345      +0.7015   
res4j_branch2b/kernel:0                       (3, 3, 256, 256)      -0.0998        +0.2404      +0.0102   
res4j_branch2b/bias:0                              (256,)           -0.0012        +0.0019      +0.0005   
bn4j_branch2b/gamma:0                              (256,)           +0.4094        +1.4511      +0.1328   
bn4j_branch2b/beta:0                               (256,)           -1.9449        +0.4951      +0.2976   
bn4j_branch2b/moving_mean:0                        (256,)           -1.0420        +0.6202      +0.2047   
bn4j_branch2b/moving_variance:0                    (256,)           +0.0464        +0.5519      +0.0491   
res4j_branch2c/kernel:0                      (1, 1, 256, 1024)      -0.1386        +0.1625      +0.0118   
res4j_branch2c/bias:0                             (1024,)           -0.0021        +0.0033      +0.0008   
bn4j_branch2c/gamma:0                             (1024,)           +0.0291        +2.0871      +0.1973   
bn4j_branch2c/beta:0                              (1024,)           -0.8281        +0.1717      +0.1242   
